id,name,local_name,district,city,lat,lng,start_date,end_date,duration_days,season,category,description,cultural_significance,history,attractions,local_food,footfall,images,tags,footfall_formatted,attractions_count,culinary_items_count,computed_duration
sirsi-marikamba-jatre,Sirsi Marikamba Jatre (Goddess Marikamba Fair),ಶಿರಸಿ ಮಾರಿಕಾಂಬಾ ಜಾತ್ರೆ,Uttara Kannada,Sirsi,14.6195,74.8354,2026-03-03,2026-03-11,9,Spring (Biennial in Phalguna),Folk Fair & Temple Car,"Karnataka's largest biennial folk temple fair celebrating Sri Marikamba Devi, the fierce guardian deity of the Malnad region. A monumental 8-day festival where the Goddess is seated on an intricately carved giant wooden chariot and taken out in a state-wide celebration.","A vibrant celebration of Malnad folk culture, where devotees perform vows (Seve), carry sacred neem leaf pots, and celebrate the deity as protector against epidemics and misfortune.","The temple was consecrated in 1688 CE by the Sonda King Basavappa Nayaka, who brought the high-spirited sandalwood idol from Hanagal.","[""Procession of the massive wooden ratha through the forested town of Sirsi"", ""Bedaravesha and traditional folk theatrical mask performances"", ""Grand Malnad agricultural fair and giant Ferris wheels"", ""Hagalu Vesha folk dancers and Chande percussionists""]","[""Halasina Hannina Kadubu (Jackfruit sweet parcels)"", ""Bakshya (Holige) with hot coconut milk"", ""Sirsi Banana Chips fried in pure coconut oil"", ""Malnad Tambuli (cooling herbal yoghurt soup)""]",850000,"[{""url"": ""https://images.unsplash.com/photo-1609743522653-52354461cf27"", ""caption"": ""Decorated wooden chariot during Sirsi Marikamba Fair"", ""is_primary"": true}]","[""sirsi"", ""marikamba"", ""malnad"", ""jatre"", ""biennial"", ""chariot"", ""folk-deity"", ""uttara-kannada""]",850k+,4,4,9
saundatti-yellamma-jatre,Saundatti Yellamma Devi Jatre (Banada Hunnime),ಸವದತ್ತಿ ರೇಣುಕಾ ಯಲ್ಲಮ್ಮ ಜಾತ್ರೆ (ಬನದ ಹುಣ್ಣಿಮೆ),Belagavi,Saundatti (Yellammagudda),15.7766,75.1225,2026-01-02,2026-01-05,4,Winter (Margashirsha / Pausha Full Moon),Tribal & Folk Pilgrimage,"Held atop the scenic Yellammagudda hill overlooking the Malaprabha reservoir, this sacred folk pilgrimage draws over a million devotees from Karnataka, Maharashtra, and Goa. Pilgrims offer worship to Goddess Renuka Yellamma with neem leaves, turmeric (Bhandara), and silver umbrellas.","A profound centre for Shakti and Matrika veneration in the Deccan, embodying deep agrarian faith and folk devotional songs (Jogiti Pada).",The shrine has ancient roots dating back to the Rashtrakuta and Ratta dynasties of Saundatti (11th century CE).,"[""Sea of devotees showering yellow turmeric (Bhandara) atop the hill"", ""Jogiti Nritya and Chowdki Pada folk balladeers singing Renuka's epic"", ""Sacred bath at the historic Jogula Bhavi stepwell tank"", ""Grand palanquin procession across the hilltops""]","[""Jawari (Sorghum) Rotti with Shenga Pittu"", ""Belagavi Kunda (slow-caramelized milk sweet)"", ""Gokak Karadantu (nut-loaded chewy jaggery sweet)"", ""Pithla Bhakri with spicy green chilli thecha""]",1300000,"[{""url"": ""https://images.unsplash.com/photo-1544717302-de2939b7ef71"", ""caption"": ""Pilgrims celebrating with yellow turmeric at Yellammagudda hill"", ""is_primary"": true}]","[""saundatti"", ""yellamma"", ""belagavi"", ""renuka"", ""bhandara"", ""jogiti-pada"", ""folk-pilgrimage""]",1.3 Million+,4,4,4
dharmasthala-laksha-deepotsava,"Dharmasthala Laksha Deepotsava (Festival of 100,000 Lamps)",ಧರ್ಮಸ್ಥಳ ಲಕ್ಷ ದೀಪೋತ್ಸವ,Dakshina Kannada,Dharmasthala,12.9567,75.3789,2026-11-28,2026-12-03,6,Winter (Karthika Masa),Spiritual Festival of Lights & Interfaith Unity,An ethereal festival of lights where the entire pilgrim town of Dharmasthala and the Netravati riverbank are illuminated with hundreds of thousands of earthen and brass oil lamps. Features the historic Sarva Dharma Sammelana (All-Faith Conference) and Sahitya Sammelana.,"Dharmasthala is a unique symbol of syncretism where the deity is Lord Shiva (Manjunatha), the priests are Madhwa Vaishnavas, and the administrative guardians (Heggade) are Jains.","Instituted over 800 years ago, upholding the 4 core tenets of Dharmasthala: Anna Dana (food), Abhaya Dana (sanctuary), Aushadha Dana (medicine), and Vidya Dana (education).","[""Lighting of over 100,000 brass and clay lamps across the temple courtyard"", ""Sarva Dharma (Interfaith) and Sahitya (Literary) Conferences with eminent philosophers"", ""Nightly Lalitakalagalu classical concerts and Yakshagana troupes"", ""Chariot processions (Hosakatte, Kerekatte, Lalithodyana Ratha)""]","[""Sri Manjunatha Temple Annadana Mahaprasada (piping hot rice, rasam, payasa)"", ""Pathrode (steamed spiced colocasia rolls)"", ""Mangalore Golibaje / Maida Vada with coconut chutney"", ""Kashaya (herbal digestive health beverage)""]",450000,"[{""url"": ""https://images.unsplash.com/photo-1514565131-fce0801e5785"", ""caption"": ""Illuminated rows of lamps during Laksha Deepotsava"", ""is_primary"": true}]","[""dharmasthala"", ""deepotsava"", ""manjunatha"", ""lights"", ""sarva-dharma"", ""netravati"", ""dakshina-kannada""]",450k+,4,4,6
udupi-paryaya-utsava,Udupi Sri Krishna Paryaya Mahotsava,ಉಡುಪಿ ಪರ್ಯಾಯ ಮಹೋತ್ಸವ,Udupi,Udupi,13.3409,74.7421,2026-01-18,2026-01-19,2,Winter (Makara Sankranti Period / Biennial),Sacred Biennial Handover & Vedic Ritual,A historic ceremonial handover of the administrative and worship rights (Puja Paryaya) of the world-famous Udupi Sri Krishna Temple among the pontiffs of the Ashta Mathas (8 monasteries). Takes place at dawn on January 18th in alternate even-numbered years.,Embodies the unbroken 800-year lineage of Sri Madhwacharya's Dvaita Vedanta philosophy and peaceful rotational governance.,Conceived by Sri Madhwacharya in the 13th century (originally 2-month cycle) and restructured to a 2-year biennial system in 1522 CE by Sri Vadiraja Tirtha of Sodhe Matha.,"[""Early morning holy dip at Danda Tirtha and royal procession in decorated palanquins into Udupi Car Street"", ""Ceremonial handing over of the Akshaya Patra and temple shrine keys at Sarvajna Peetha"", ""Grand Durbar in Rajangana with Vedic scholars from across India"", ""All-night illumination of Udupi Car Street and Madhwa Sarovara""]","[""Authentic Udupi Satvik Meal (Udupi Saaru, Menaskai, Kadubu)"", ""Goli Baje (crisp Mangalore bondas)"", ""Udupi Rava Masala Dosa"", ""Hayagriva Maddi (Bengal gram and jaggery sweet)"", ""Chitranna and Moode""]",400000,"[{""url"": ""https://images.unsplash.com/photo-1582510003544-4d00b7f74220"", ""caption"": ""Udupi Car Street decorated for the grand Paryaya procession"", ""is_primary"": true}]","[""udupi"", ""paryaya"", ""krishna-matha"", ""madhwacharya"", ""ashta-matha"", ""dvaita"", ""satvik-food""]",400k+,4,5,2
mahamastakabhisheka-shravanabelagola,Shravanabelagola Mahamastakabhisheka,ಶ್ರವಣಬೆಳಗೊಳ ಮಹಾಮಸ್ತಕಾಭಿಷೇಕ ಮಹೋತ್ಸವ,Hassan,Shravanabelagola,12.8587,76.4862,2026-02-15,2026-02-23,9,Winter / Spring (Cyclic Event),Grand Jain Anointment & Peace Fest,"The world's grandest Jain festival held atop the monolithic Vindhyagiri Hill. The 57-foot-tall monolithic statue of Bhagwan Bahubali (Gommateshwara), carved in 981 CE, is ceremonially bathed from a specially erected scaffolding with milk, sugarcane juice, saffron, turmeric, sandalwood paste, and showered with gold and silver flowers.","Commemorates Bahubali's spiritual victory through Ahimsa (non-violence), Tyaga (renunciation), and Kevala Jnana (supreme enlightenment).","Commissioned in 981 CE by Chavundaraya, the Prime Minister and Commander-in-Chief of the Western Ganga Dynasty.","[""Pouring of 1,008 Kalashas (sacred urns) of milk, saffron, and turmeric over the 57-ft colossus"", ""Climbing the 650 stone-hewn steps of Vindhyagiri Hill overlooking Chandragiri"", ""International peace conclaves and Jain philosophical seminars"", ""Spectacular illumination of the two hills and the central white lake (Belagola)""]","[""Satvik Jain Meal (No root vegetables, purely organic and cold-pressed preparations)"", ""Akki Rotti with coconut-coriander chutney"", ""Hassan style Ragi Rotti and Badam Kheer"", ""Kashaya and Holige""]",2800000,"[{""url"": ""https://images.unsplash.com/photo-1548013146-72479768bada"", ""caption"": ""57-foot Gommateshwara statue during the sacred head-anointing ceremony"", ""is_primary"": true}]","[""shravanabelagola"", ""bahubali"", ""gommateshwara"", ""jainism"", ""ganga-dynasty"", ""ahimsa"", ""monolith""]",2.8 Million+,4,4,9
hassanamba-temple-jatre,Hassanamba Temple Jatre (Annual Sanctum Opening),ಹಾಸನಾಂಬ ದೇವಾಲಯ ಜಾತ್ರಾ ಮಹೋತ್ಸವ,Hassan,Hassan,13.0033,76.1004,2026-10-29,2026-11-08,11,Autumn (Deepavali / Ashwayuja),Sacred Annual Darshan & Miracle Shrine,"A mystical temple event where the inner sanctum of the historic Hassanamba Temple opens to the public for only 10 to 14 days a year around Deepavali. When the doors are unlocked, the ghee lamp lit the previous year is found still burning, and the raw flowers offered remain fresh.",Goddess Hassanamba is revered as the presiding smiling mother deity ('Hasana Amba') after whom the district of Hassan is named.,Built in the 12th century CE during the reign of the Hoysala dynasty who established magnificent architectural heritage in the region.,"[""Ceremonial breaking of the temple seal by the district administration and chief priests"", ""Darshan of the perennial sacred ghee lamp and fresh floral offerings from the previous year"", ""Siddeshwara Swamy car festival and Kendotsava (fire-walking ritual)"", ""Grand Deepavali fireworks and city-wide illumination""]","[""Hassan Ragi Mudde with Bassaru & Upsaaru"", ""Menthe Kadubu with spicy coconut chutney"", ""Hassan style Akki Shavige (fresh rice noodles) with sweetened coconut milk"", ""Butter Dosa and Halwa""]",1100000,"[{""url"": ""https://images.unsplash.com/photo-1600100397608-f010f443b749"", ""caption"": ""Crowds of devotees queued outside the Hassanamba Temple for the annual darshan"", ""is_primary"": true}]","[""hassan"", ""hassanamba"", ""annual-darshan"", ""miracle-lamp"", ""hoysala"", ""deepavali"", ""ragi-mudde""]",1.1 Million+,4,4,11
basavanagudi-kadalekai-parishe,Basavanagudi Kadalekai Parishe (Groundnut Fair),ಬಸವನಗುಡಿ ಕಡಲೆಕಾಯಿ ಪರಿಷೆ,Bengaluru Urban,Bengaluru (Basavanagudi),12.9421,77.5684,2026-11-23,2026-11-25,3,Winter (Last Monday of Karthika Masa),Agrarian Peanut Fair & Folk Bazaar,"Bengaluru's beloved 500-year-old groundnut fair where farmers from across Karnataka, Tamil Nadu, and Andhra Pradesh bring their first harvest of peanuts to offer to the sacred monolithic Nandi (Bull Temple) before setting up multi-kilometer street bazaars of roasted, boiled, and spiced groundnuts.","Celebrates the symbiotic relationship between urban Bengaluru and the surrounding farming communities, blessed by the guardian Nandi bull.","Originated in the 16th century during the reign of Kempe Gowda I, when farmers placated a wild bull that rampaged groundnut fields by offering their first yield.","[""Offerings of sacks of freshly harvested groundnuts to the giant monolithic Nandi idol"", ""Endless open-air street stalls with mountains of raw, clay-roasted, salted, and boiled peanuts"", ""Traditional giant hand-cranked wooden Ferris wheels and merry-go-rounds"", ""Vidyarthi Bhavan dosa hopping and Gandhi Bazaar cultural walking trail""]","[""Hot Clay-Roasted Groundnuts (Bisi Kadalekai)"", ""Spiced Steamed Peanuts (Uppu Kadalekai)"", ""Batani Sundal and Menasinakai Bajji (Chilli fritters)"", ""Vidyarthi Bhavan Crispy Butter Masala Dosa"", ""Bobbattu / Holige (sweet stuffed flatbread)""]",650000,"[{""url"": ""https://images.unsplash.com/photo-1596401057633-54a8fe8ef647"", ""caption"": ""Bull Temple street fair lit up with colorful heaps of peanuts"", ""is_primary"": true}]","[""bengaluru"", ""basavanagudi"", ""kadalekai-parishe"", ""bull-temple"", ""peanuts"", ""kempegowda"", ""street-fair""]",650k+,4,5,3
sringeri-sharada-navaratri,Sringeri Sharada Sharannavaratri,ಶೃಂಗೇರಿ ಶಾರದ ಶರನ್ನವರಾತ್ರಿ ಮಹೋತ್ಸವ,Chikkamagaluru,Sringeri,13.4184,75.2559,2026-10-11,2026-10-20,10,Autumn (Navaratri / Ashwayuja),Sacred Classical & Vedic Fest,"Celebrated at the first and premier Peetham established by Sri Adi Shankaracharya on the banks of Tunga River. Goddess Sharadamba is decorated in nine distinct divine alankaras (incarnations), and the Jagadguru Sankaracharya presides over the golden royal Durbar every evening wearing royal insignia.","The epicenter of Advaita Vedanta philosophy, Vedic chanting, and classical Carnatic music offerings (Sangeeta Seva).","Established in the 8th century CE by Adi Shankaracharya and patronized by the founding monarchs of the Vijayanagara Empire, Harihara and Bukka.","[""Goddess Sharadamba decorated in 9 radiant daily avatars (Brahmi, Vaishnavi, Chamundi, etc.)"", ""Evening Golden Chariot (Suvarna Ratha) and Durbar procession of the Sringeri Jagadguru"", ""Feeding the holy sacred fish in the clean waters of the Tunga River ghats"", ""Vidyaranya Vidya Peetha Vedic recitations and Chandi Homa""]","[""Sringeri Temple Annaprasada (fragrant rice, piping sambar, rasam, and payasa)"", ""Malnad Halasina Hannina Happala & Kadubu"", ""Chikkamagaluru Pure Estate Filter Coffee"", ""Akki Rotti with Kayi Chutney""]",300000,"[{""url"": ""https://images.unsplash.com/photo-1548013146-72479768bada"", ""caption"": ""Vidyashankara Temple on the banks of Tunga River in Sringeri"", ""is_primary"": true}]","[""sringeri"", ""sharadamba"", ""shankaracharya"", ""navaratri"", ""advaita"", ""chikkamagaluru"", ""tunga-river""]",300k+,4,4,10
alvas-virasat-cultural-fest,Alva's Virasat & Nudisiri National Cultural Festival,ಆಳ್ವಾಸ್ ವಿರಾಸತ್ & ನುಡಿಸಿರಿ ರಾಷ್ಟ್ರೀಯ ಉತ್ಸವ,Dakshina Kannada,Moodabidri (Vidyagiri),13.0722,74.9984,2026-12-18,2026-12-21,4,Winter / Hemanta,National Cultural Extravaganza,"One of India's largest integrated student and national cultural conventions featuring 50,000 youth and veteran artists performing classical Carnatic, Hindustani, Yakshagana, Manipuri, Kathakali, and folk dances on open-air mega amphitheaters.","A mammoth cultural platform propagating Karnataka's language, heritage, traditional sports, and national integration.",Founded by visionary educationist Dr. M. Mohan Alva over 25 years ago in the Jain heritage town of Moodabidri.,"[""Grand stages hosting simultaneous performances of 1,000+ artists together"", ""Conferring of the prestigious Alva's Virasat Award to world-renowned musicians"", ""Massive traditional food court serving over 100 coastal and malnad culinary delicacies"", ""Art, sculpture, photography, and indigenous handloom exhibitions""]","[""Moode (cylindrical steamed rice idlis in screwpine leaves)"", ""Mangalorean Jackfruit Chips and Halwa"", ""Goli Baje with ginger coconut chutney"", ""Banana Podi (banana fritters)""]",220000,"[{""url"": ""https://images.unsplash.com/photo-1514565131-fce0801e5785"", ""caption"": ""Magnificent cultural performance stage at Alva's Virasat Moodabidri"", ""is_primary"": true}]","[""alvas-virasat"", ""moodabidri"", ""nudisiri"", ""classical-music"", ""folk-arts"", ""dance-festival"", ""youth""]",220k+,4,4,4
kalaburagi-sharanabasaveshwara-jatre,Kalaburagi Sharanabasaveshwara Jatre,ಕಲಬುರಗಿ ಶರಣಬಸವೇಶ್ವರ ಮಹಾ ರಥೋತ್ಸವ,Kalaburagi,Kalaburagi (Gulbarga),17.3297,76.8343,2026-03-24,2026-03-26,3,Spring (Chaitra Masa),Sufi-Bhakti Spiritual Fair & Dasoha,The landmark religious fair of Kalyana Karnataka commemorating the 19th-century Lingayat philosopher-saint Sri Sharanabasaveshwara. Features the pulling of the towering silver chariot and the public unveiling of the historic gold and silver covered bowl (Batti Gidda) and sacred staff (Padi).,"Celebrates the ideals of universal brotherhood, charity, and social upliftment across Hyderabad-Karnataka.",Commemorates Saint Sharanabasaveshwara (1760–1822 CE) who dedicated his entire life to providing famine relief and education.,"[""Pulling of the monumental Silver Ratha through the historic temple grounds"", ""Public viewing (Darshan) of the sacred relics (Batti & Padi) kept atop the dome"", ""Cattle fair (Kalyana Karnataka Hallikar and Khillari bull exhibition)"", ""Sufi Qawwali and Vachana Gayana concerts""]","[""Gulbarga Malka Rotti with spicy Shenga chutney"", ""Kalaburagi Tahari (aromatic spiced rice specialty)"", ""Dharwad Pedha and Khaja sweet"", ""Jolada Rotti with Brinjal Gravy (Yennegai)""]",900000,"[{""url"": ""https://images.unsplash.com/photo-1544717305-2782549b5136"", ""caption"": ""Vibrant gathering during Sharanabasaveshwara chariot festival"", ""is_primary"": true}]","[""kalaburagi"", ""sharanabasaveshwara"", ""kalyana-karnataka"", ""vachana"", ""silver-chariot"", ""dasoha""]",900k+,4,4,3
kukke-subramanya-champa-shashti,Kukke Subramanya Champa Shashti,ಕುಕ್ಕೆ ಶ್ರೀ ಸುಬ್ರಹ್ಮಣ್ಯ ಚಂಪಾ ಷಷ್ಠಿ ಮಹೋತ್ಸವ,Dakshina Kannada,Subramanya,12.6635,75.6158,2026-12-14,2026-12-16,3,Winter (Margashirsha Shuddha Shashti),Sacred Serpentine Ritual & Car Fest,"The premier festival at the revered Kukke Subramanya Temple nestled in the Western Ghats under the Kumara Parvatha peak. Lord Subramanya is worshipped as the supreme protector of serpents (Nagas), highlighted by the grand Brahmaratha procession and Ashlesha Bali.",Regarded as the most potent pilgrimage destination in South India for Sarpa Dosha Nivarana and environmental reverence for serpents.,Ancient temple chronicled in the Sanatkumara Samhita of Skanda Purana where Lord Subramanya consecrated the serpent king Vasuki.,"[""Rolling and pulling of the giant wooden Brahmaratha chariot through Car Street"", ""Champa Shashti sacred bath in the holy Kumaradhara River"", ""Trekking view of the majestic Kumara Parvatha mountain backdrop"", ""Special Naga Pratishthe and Ashlesha Bali rituals""]","[""Kottige (Idlis steamed in woven jackfruit leaf baskets)"", ""Kukke Temple Sweet Prasada (Laddus & Panchamrutha)"", ""Mangalore Buns with spicy coconut chutney"", ""Banana Halwa and tender coconut water""]",380000,"[{""url"": ""https://images.unsplash.com/photo-1600100397608-f010f443b749"", ""caption"": ""Kukke Subramanya Temple surrounded by lush Western Ghats hills"", ""is_primary"": true}]","[""kukke-subramanya"", ""champa-shashti"", ""naga-worship"", ""kumaradhara"", ""kumara-parvatha"", ""brahmaratha""]",380k+,4,4,3
bidar-utsav,Bidar Utsav (Bahmani Heritage & Deccan Culture),ಬೀದರ್ ಉತ್ಸವ,Bidar,Bidar,17.9174,77.5303,2026-01-23,2026-01-25,3,Winter / Shishira,Deccan Heritage & Sufi Music,"Celebrated within the colossal triple-moated Bidar Fort and Mahmud Gawan Madrasa. Spotlights the historic fusion of Persian, Turkish, and Deccan architectural heritage, Sufi devotional music, Bidriware metal crafts, and kite festivals.",Celebrates Bidar's cosmopolitan Deccan synthesis and preserves the GI-certified Bidriware craft of silver inlay on blackened zinc-copper alloy.,Bidar was the grand medieval capital of the Bahmani Sultanate and Barid Shahi dynasty from 1422 CE.,"[""3D projection mapping and laser shows onto the walls of the 15th-century Bidar Fort"", ""Live Bidriware artisan workshops in the historical Old City bazaars"", ""International Kite Flying Festival over the fort battlements"", ""Sufi music night featuring acclaimed Ghazal and Qawwali maestros""]","[""Bidar Biryani & Dum Pukht specialties"", ""Jowar Rotti with Chana Dal Usli"", ""Bidar style Khubani ka Meetha (Apricot dessert)"", ""Malida sweet with pure ghee""]",120000,"[{""url"": ""https://images.unsplash.com/photo-1590076215667-875d4ef2d7ee"", ""caption"": ""Mahmud Gawan Madrasa and Bidar Fort battlements lit up at dusk"", ""is_primary"": true}]","[""bidar"", ""bidar-fort"", ""bidriware"", ""bahmani"", ""deccan"", ""sufi-music"", ""kalyana-karnataka""]",120k+,4,4,3
kodagu-kailpodh-huthri,Kodagu Kailpodh & Huthri Harvest Festival,ಕೊಡಗಿನ ಕೈಲ್‌ಪೊದ್ & ಹುತ್ತರಿ ಹಬ್ಬ,Kodagu,Madikeri / Gonikoppal,12.4244,75.7382,2026-09-03,2026-09-04,2,Monsoon / Post-Monsoon (Bhadrapada & Margashirsha),Indigenous Tribal & Harvest,"The quintessential cultural festivals of the warrior clan of Kodagu. Kailpodh marks the worship of traditional weaponry (Kopri, Odi Katti) and agrarian tools following transplanting, while Huthri is the joyous harvesting of the first ear of golden paddy by moonlight accompanied by rhythmic Dudikott Paat folk songs.","Represents the martial ethos, nature-worship, and egalitarian community solidarity of the indigenous Kodava community.",Unbroken ancestral tradition preserved in Kodagu Ainmanes (traditional ancestral homes) for centuries.,"[""Ayudha Puja of traditional ancestral arms and coconut-shooting shooting contests (Eedu)"", ""Solemn night procession into the paddy field for 'Poli Poli Deva' paddy cutting"", ""Kodava Valaga folk dance with swords (Bolak-aat, Kol-aat, Pariyakali)"", ""Communal feast at traditional Ainmanes in Kodava Kupya-Chele attire""]","[""Kadambuttu with Pandi Curry (or traditional veg Bamboo Shoot / Kanni curry)"", ""Paputtu with Noolputtu and fresh coconut milk"", ""Thambuttu (mashed banana and roasted rice flour sweet made during Huthri)"", ""Coorg Kaapi and Kadamittu""]",85000,"[{""url"": ""https://images.unsplash.com/photo-1506744038136-46273834b3fb"", ""caption"": ""Lush green paddy fields and coffee valleys of Kodagu during harvest"", ""is_primary"": true}]","[""kodagu"", ""kailpodh"", ""huthri"", ""kodava"", ""harvest"", ""martial-tradition"", ""ainmane"", ""coffee-hills""]",85k+,4,4,2
kanakagiri-utsava,Kanakagiri Utsava (Suvarnagiri Heritage),ಕನಕಗಿರಿ ಉತ್ಸವ,Koppal,Kanakagiri,15.5728,76.4228,2026-02-20,2026-02-22,3,Winter / Spring,Heritage & Folk Arts,"Celebrated at historical Kanakagiri ('Golden Hill'), famous for the proverb 'Kallidare Kanakagiri nodu' (If you have eyes, you must see Kanakagiri). Showcases the magnificent stone architecture of Kanakachala Lakshmi Narasimha Temple and Vijayanagara Nayaka art.",Commemorates the regional cultural brilliance of the Kanakappa Nayaka chieftaincy under the Vijayanagara Empire.,Identified as the ancient Mauryan provincial capital 'Suvarnagiri' and later developed by Vijayanagara Nayakas in the 16th century.,"[""Sound and light spectacles around the Kanakachala Temple stone gopura"", ""Traditional Bayalata and Togalu Gombeyata (Leather Puppet Theatre)"", ""Koppal handloom khadi and Kinnal craft displays""]","[""Sajje Rotti with Badanekayi Yennegai"", ""Kanakagiri style Girmit with Mirchi Bajji"", ""Shenga Chutney with hot Jolada Rotti"", ""Ghee-soaked Boondi Laddu""]",80000,"[{""url"": ""https://images.unsplash.com/photo-1548013146-72479768bada"", ""caption"": ""Kanakachala Lakshmi Narasimha Temple stone pavilion at Kanakagiri"", ""is_primary"": true}]","[""kanakagiri"", ""koppal"", ""suvarnagiri"", ""nayaka"", ""kinnal-craft"", ""folk-arts"", ""temple""]",80k+,3,4,3
lakkundi-utsava,Lakkundi Utsava (City of 100 Stepwells),ಲಕ್ಕುಂಡಿ ಉತ್ಸವ (ಮೆಟ್ಟಿಲು ಬಾವಿಗಳ ನಗರಿ),Gadag,Lakkundi,15.3887,75.7171,2026-02-12,2026-02-14,3,Winter / Shishira,"Art, Sculpture & Stepwell Heritage","Staged in the ancient city of Lokkigundi (modern Lakkundi), which was home to 101 stepped wells (Kalyanis) and 101 ornate chloritic schist temples. Features classical music by illuminated stepwells such as Musukina Bavi and Brahma Jinalaya.",Celebrates the zenith of Kalyana Chalukya architectural ingenuity and the legacy of legendary patron Attimabbe ('Danachintamani').,"Lakkundi was an imperial minting capital and a major metropolis in the 10th-12th centuries under the Western Chalukyas, Hoysalas, and Seunas.","[""Illuminated stepwell concerts at Musukina Bavi and Kasi Vishveshwara Temple"", ""Attimabbe National Literary and Women Leadership Awards"", ""Live stone carving demonstrations by contemporary sculptors"", ""Heritage cycle tours across all surviving Kalyanis""]","[""Gadag style Crispy Jolada Rotti with Shenga Pudi"", ""Moong Dal Kosambari with fresh grated coconut"", ""Churmuri / Girmit with hot chilli bajji"", ""Dharwad Pedha & Balepale""]",55000,"[{""url"": ""https://images.unsplash.com/photo-1590076215667-875d4ef2d7ee"", ""caption"": ""Musukina Bavi stepwell at Lakkundi lit up with traditional oil lamps"", ""is_primary"": true}]","[""lakkundi"", ""gadag"", ""stepwells"", ""kalyani"", ""chalukya"", ""attimabbe"", ""sculpture""]",55k+,4,4,3
kittur-utsava,Kittur Rani Chennamma Vijayotsava,ಕಿತ್ತೂರು ರಾಣಿ ಚೆನ್ನಮ್ಮ ವಿಜಯೋತ್ಸವ,Belagavi,Kittur,15.6015,74.7937,2026-10-23,2026-10-25,3,Autumn (October 23-25),Patriotic & Freedom Heritage,"Celebrated with patriotic fervor in Kittur to commemorate Queen Rani Chennamma's historic armed rebellion and victory against the British East India Company in October 1824, 33 years before the 1857 Sepoy Mutiny.","A symbol of Kannada valor, women leadership, and early Indian anti-colonial freedom struggle.",Rani Chennamma and her lieutenant Krantiveera Sangolli Rayanna routed the British forces led by John Thackeray at Kittur Fort in 1824.,"[""Veerajyoti (Torch of Valor) flame relay from Sangolli and Belagavi to Kittur Fort"", ""Spectacular light and sound reenactment of the Kittur battle within the fort ruins"", ""Traditional Mallakhamba and wrestling (Kushti) demonstrations"", ""Patriotic choral songs and folk plays on Chennamma & Sangolli Rayanna""]","[""Belgaum Kunda (traditional roasted milk dessert)"", ""Gokak Karadantu (dry fruit and edible gum jaggery sweet)"", ""Jolada Rotti with Yennegai and raw onion salad"", ""Shenga Holige with ghee""]",160000,"[{""url"": ""https://images.unsplash.com/photo-1548013146-72479768bada"", ""caption"": ""Kittur Fort palace ruins illuminated during the Rani Chennamma festival"", ""is_primary"": true}]","[""kittur"", ""rani-chennamma"", ""freedom-struggle"", ""belagavi"", ""sangolli-rayanna"", ""valor"", ""patriotic""]",160k+,4,4,3
karwar-karavali-beach-utsav,Karwar Beach Festival (Karavali Utsava),ಕಾರವಾರ ಬೀಚ್ ಉತ್ಸವ (ಕರಾವಳಿ ಉತ್ಸವ),Uttara Kannada,Karwar (Rabindranath Tagore Beach),14.808,74.124,2026-12-26,2026-12-30,5,Winter / Year-End,Coastal Tourism & Maritime Arts,"Staged along the crescent-shaped Rabindranath Tagore Beach where the young poet laureate Tagore was inspired to write his early verses. Features water sports, international sand sculptures, coastal Konkani music, and beach sports.","Celebrates Uttara Kannada's pristine coastal ecology, naval heritage (INS Chapal Warship museum), and vibrant Konkan-Kannada syncretism.",Inaugurated as an annual tourism flagship in the 1990s celebrating Karwar's maritime history and literary links.,"[""Giant Sand Art sculptures created by world-renowned artists on the shoreline"", ""Paramotoring, jet skiing, and banana boat rides on Arabian Sea waters"", ""INS Chapal Warship light & laser showcase"", ""Coastal Konkani & Kannada musical fusion evenings""]","[""Karwar style Cashew Green Chilli Upkari"", ""Karwari Fish Curry & Rawa Fried Surmai (or veg Phalguni coconut curries)"", ""Amboli with coconut chutney"", ""Mangalore Buns and fresh Elaneer (Tender Coconut)""]",140000,"[{""url"": ""https://images.unsplash.com/photo-1507525428034-b723cf961d3e"", ""caption"": ""Sunset over Rabindranath Tagore Beach in Karwar during the festival"", ""is_primary"": true}]","[""karwar"", ""karavali"", ""beach-fest"", ""tagore-beach"", ""sand-art"", ""coastal"", ""arabian-sea""]",140k+,4,4,5
