id,name,local_name,district,city,latitude,longitude,start_date,end_date,timings,category_id,short_description,cultural_significance,history_origin,major_attractions,local_food,activities,expected_footfall,official_website
11,Sirsi Marikamba Jatre (Goddess Marikamba Fair),ಶಿರಸಿ ಮಾರಿಕಾಂಬಾ ಜಾತ್ರೆ,Uttara Kannada,Sirsi,14.6195,74.8354,2026-03-03,2026-03-11,All Day,12,"Karnataka's largest biennial folk temple fair celebrating Sri Marikamba Devi, the fierce guardian deity of the Malnad region. A monumental 8-day festival where the Goddess is seated on an intricately carved giant wooden chariot and taken out in a state-wide celebration.","A vibrant celebration of Malnad folk culture, where devotees perform vows (Seve), carry sacred neem leaf pots, and celebrate the deity as protector against epidemics and misfortune.","The temple was consecrated in 1688 CE by the Sonda King Basavappa Nayaka, who brought the high-spirited sandalwood idol from Hanagal.","['Procession of the massive wooden ratha through the forested town of Sirsi', 'Bedaravesha and traditional folk theatrical mask performances', 'Grand Malnad agricultural fair and giant Ferris wheels', 'Hagalu Vesha folk dancers and Chande percussionists']","['Halasina Hannina Kadubu (Jackfruit sweet parcels)', 'Bakshya (Holige) with hot coconut milk', 'Sirsi Banana Chips fried in pure coconut oil', 'Malnad Tambuli (cooling herbal yoghurt soup)']","['sirsi', 'marikamba', 'malnad', 'jatre', 'biennial', 'chariot', 'folk-deity', 'uttara-kannada']",850000,
12,Saundatti Yellamma Devi Jatre (Banada Hunnime),ಸವದತ್ತಿ ರೇಣುಕಾ ಯಲ್ಲಮ್ಮ ಜಾತ್ರೆ (ಬನದ ಹುಣ್ಣಿಮೆ),Belagavi,Saundatti (Yellammagudda),15.7766,75.1225,2026-01-02,2026-01-05,All Day,13,"Held atop the scenic Yellammagudda hill overlooking the Malaprabha reservoir, this sacred folk pilgrimage draws over a million devotees from Karnataka, Maharashtra, and Goa. Pilgrims offer worship to Goddess Renuka Yellamma with neem leaves, turmeric (Bhandara), and silver umbrellas.","A profound centre for Shakti and Matrika veneration in the Deccan, embodying deep agrarian faith and folk devotional songs (Jogiti Pada).",The shrine has ancient roots dating back to the Rashtrakuta and Ratta dynasties of Saundatti (11th century CE).,"['Sea of devotees showering yellow turmeric (Bhandara) atop the hill', ""Jogiti Nritya and Chowdki Pada folk balladeers singing Renuka's epic"", 'Sacred bath at the historic Jogula Bhavi stepwell tank', 'Grand palanquin procession across the hilltops']","['Jawari (Sorghum) Rotti with Shenga Pittu', 'Belagavi Kunda (slow-caramelized milk sweet)', 'Gokak Karadantu (nut-loaded chewy jaggery sweet)', 'Pithla Bhakri with spicy green chilli thecha']","['saundatti', 'yellamma', 'belagavi', 'renuka', 'bhandara', 'jogiti-pada', 'folk-pilgrimage']",1300000,
13,"Dharmasthala Laksha Deepotsava (Festival of 100,000 Lamps)",ಧರ್ಮಸ್ಥಳ ಲಕ್ಷ ದೀಪೋತ್ಸವ,Dakshina Kannada,Dharmasthala,12.9567,75.3789,2026-11-28,2026-12-03,All Day,14,An ethereal festival of lights where the entire pilgrim town of Dharmasthala and the Netravati riverbank are illuminated with hundreds of thousands of earthen and brass oil lamps. Features the historic Sarva Dharma Sammelana (All-Faith Conference) and Sahitya Sammelana.,"Dharmasthala is a unique symbol of syncretism where the deity is Lord Shiva (Manjunatha), the priests are Madhwa Vaishnavas, and the administrative guardians (Heggade) are Jains.","Instituted over 800 years ago, upholding the 4 core tenets of Dharmasthala: Anna Dana (food), Abhaya Dana (sanctuary), Aushadha Dana (medicine), and Vidya Dana (education).","['Lighting of over 100,000 brass and clay lamps across the temple courtyard', 'Sarva Dharma (Interfaith) and Sahitya (Literary) Conferences with eminent philosophers', 'Nightly Lalitakalagalu classical concerts and Yakshagana troupes', 'Chariot processions (Hosakatte, Kerekatte, Lalithodyana Ratha)']","['Sri Manjunatha Temple Annadana Mahaprasada (piping hot rice, rasam, payasa)', 'Pathrode (steamed spiced colocasia rolls)', 'Mangalore Golibaje / Maida Vada with coconut chutney', 'Kashaya (herbal digestive health beverage)']","['dharmasthala', 'deepotsava', 'manjunatha', 'lights', 'sarva-dharma', 'netravati', 'dakshina-kannada']",450000,
14,Udupi Sri Krishna Paryaya Mahotsava,ಉಡುಪಿ ಪರ್ಯಾಯ ಮಹೋತ್ಸವ,Udupi,Udupi,13.3409,74.7421,2026-01-18,2026-01-19,All Day,15,A historic ceremonial handover of the administrative and worship rights (Puja Paryaya) of the world-famous Udupi Sri Krishna Temple among the pontiffs of the Ashta Mathas (8 monasteries). Takes place at dawn on January 18th in alternate even-numbered years.,Embodies the unbroken 800-year lineage of Sri Madhwacharya's Dvaita Vedanta philosophy and peaceful rotational governance.,Conceived by Sri Madhwacharya in the 13th century (originally 2-month cycle) and restructured to a 2-year biennial system in 1522 CE by Sri Vadiraja Tirtha of Sodhe Matha.,"['Early morning holy dip at Danda Tirtha and royal procession in decorated palanquins into Udupi Car Street', 'Ceremonial handing over of the Akshaya Patra and temple shrine keys at Sarvajna Peetha', 'Grand Durbar in Rajangana with Vedic scholars from across India', 'All-night illumination of Udupi Car Street and Madhwa Sarovara']","['Authentic Udupi Satvik Meal (Udupi Saaru, Menaskai, Kadubu)', 'Goli Baje (crisp Mangalore bondas)', 'Udupi Rava Masala Dosa', 'Hayagriva Maddi (Bengal gram and jaggery sweet)', 'Chitranna and Moode']","['udupi', 'paryaya', 'krishna-matha', 'madhwacharya', 'ashta-matha', 'dvaita', 'satvik-food']",400000,
15,Shravanabelagola Mahamastakabhisheka,ಶ್ರವಣಬೆಳಗೊಳ ಮಹಾಮಸ್ತಕಾಭಿಷೇಕ ಮಹೋತ್ಸವ,Hassan,Shravanabelagola,12.8587,76.4862,2026-02-15,2026-02-23,All Day,16,"The world's grandest Jain festival held atop the monolithic Vindhyagiri Hill. The 57-foot-tall monolithic statue of Bhagwan Bahubali (Gommateshwara), carved in 981 CE, is ceremonially bathed from a specially erected scaffolding with milk, sugarcane juice, saffron, turmeric, sandalwood paste, and showered with gold and silver flowers.","Commemorates Bahubali's spiritual victory through Ahimsa (non-violence), Tyaga (renunciation), and Kevala Jnana (supreme enlightenment).","Commissioned in 981 CE by Chavundaraya, the Prime Minister and Commander-in-Chief of the Western Ganga Dynasty.","['Pouring of 1,008 Kalashas (sacred urns) of milk, saffron, and turmeric over the 57-ft colossus', 'Climbing the 650 stone-hewn steps of Vindhyagiri Hill overlooking Chandragiri', 'International peace conclaves and Jain philosophical seminars', 'Spectacular illumination of the two hills and the central white lake (Belagola)']","['Satvik Jain Meal (No root vegetables, purely organic and cold-pressed preparations)', 'Akki Rotti with coconut-coriander chutney', 'Hassan style Ragi Rotti and Badam Kheer', 'Kashaya and Holige']","['shravanabelagola', 'bahubali', 'gommateshwara', 'jainism', 'ganga-dynasty', 'ahimsa', 'monolith']",2800000,
16,Hassanamba Temple Jatre (Annual Sanctum Opening),ಹಾಸನಾಂಬ ದೇವಾಲಯ ಜಾತ್ರಾ ಮಹೋತ್ಸವ,Hassan,Hassan,13.0033,76.1004,2026-10-29,2026-11-08,All Day,17,"A mystical temple event where the inner sanctum of the historic Hassanamba Temple opens to the public for only 10 to 14 days a year around Deepavali. When the doors are unlocked, the ghee lamp lit the previous year is found still burning, and the raw flowers offered remain fresh.",Goddess Hassanamba is revered as the presiding smiling mother deity ('Hasana Amba') after whom the district of Hassan is named.,Built in the 12th century CE during the reign of the Hoysala dynasty who established magnificent architectural heritage in the region.,"['Ceremonial breaking of the temple seal by the district administration and chief priests', 'Darshan of the perennial sacred ghee lamp and fresh floral offerings from the previous year', 'Siddeshwara Swamy car festival and Kendotsava (fire-walking ritual)', 'Grand Deepavali fireworks and city-wide illumination']","['Hassan Ragi Mudde with Bassaru & Upsaaru', 'Menthe Kadubu with spicy coconut chutney', 'Hassan style Akki Shavige (fresh rice noodles) with sweetened coconut milk', 'Butter Dosa and Halwa']","['hassan', 'hassanamba', 'annual-darshan', 'miracle-lamp', 'hoysala', 'deepavali', 'ragi-mudde']",1100000,
17,Basavanagudi Kadalekai Parishe (Groundnut Fair),ಬಸವನಗುಡಿ ಕಡಲೆಕಾಯಿ ಪರಿಷೆ,Bengaluru Urban,Bengaluru (Basavanagudi),12.9421,77.5684,2026-11-23,2026-11-25,All Day,18,"Bengaluru's beloved 500-year-old groundnut fair where farmers from across Karnataka, Tamil Nadu, and Andhra Pradesh bring their first harvest of peanuts to offer to the sacred monolithic Nandi (Bull Temple) before setting up multi-kilometer street bazaars of roasted, boiled, and spiced groundnuts.","Celebrates the symbiotic relationship between urban Bengaluru and the surrounding farming communities, blessed by the guardian Nandi bull.","Originated in the 16th century during the reign of Kempe Gowda I, when farmers placated a wild bull that rampaged groundnut fields by offering their first yield.","['Offerings of sacks of freshly harvested groundnuts to the giant monolithic Nandi idol', 'Endless open-air street stalls with mountains of raw, clay-roasted, salted, and boiled peanuts', 'Traditional giant hand-cranked wooden Ferris wheels and merry-go-rounds', 'Vidyarthi Bhavan dosa hopping and Gandhi Bazaar cultural walking trail']","['Hot Clay-Roasted Groundnuts (Bisi Kadalekai)', 'Spiced Steamed Peanuts (Uppu Kadalekai)', 'Batani Sundal and Menasinakai Bajji (Chilli fritters)', 'Vidyarthi Bhavan Crispy Butter Masala Dosa', 'Bobbattu / Holige (sweet stuffed flatbread)']","['bengaluru', 'basavanagudi', 'kadalekai-parishe', 'bull-temple', 'peanuts', 'kempegowda', 'street-fair']",650000,
18,Sringeri Sharada Sharannavaratri,ಶೃಂಗೇರಿ ಶಾರದ ಶರನ್ನವರಾತ್ರಿ ಮಹೋತ್ಸವ,Chikkamagaluru,Sringeri,13.4184,75.2559,2026-10-11,2026-10-20,All Day,19,"Celebrated at the first and premier Peetham established by Sri Adi Shankaracharya on the banks of Tunga River. Goddess Sharadamba is decorated in nine distinct divine alankaras (incarnations), and the Jagadguru Sankaracharya presides over the golden royal Durbar every evening wearing royal insignia.","The epicenter of Advaita Vedanta philosophy, Vedic chanting, and classical Carnatic music offerings (Sangeeta Seva).","Established in the 8th century CE by Adi Shankaracharya and patronized by the founding monarchs of the Vijayanagara Empire, Harihara and Bukka.","['Goddess Sharadamba decorated in 9 radiant daily avatars (Brahmi, Vaishnavi, Chamundi, etc.)', 'Evening Golden Chariot (Suvarna Ratha) and Durbar procession of the Sringeri Jagadguru', 'Feeding the holy sacred fish in the clean waters of the Tunga River ghats', 'Vidyaranya Vidya Peetha Vedic recitations and Chandi Homa']","['Sringeri Temple Annaprasada (fragrant rice, piping sambar, rasam, and payasa)', 'Malnad Halasina Hannina Happala & Kadubu', 'Chikkamagaluru Pure Estate Filter Coffee', 'Akki Rotti with Kayi Chutney']","['sringeri', 'sharadamba', 'shankaracharya', 'navaratri', 'advaita', 'chikkamagaluru', 'tunga-river']",300000,
19,Alva's Virasat & Nudisiri National Cultural Festival,ಆಳ್ವಾಸ್ ವಿರಾಸತ್ & ನುಡಿಸಿರಿ ರಾಷ್ಟ್ರೀಯ ಉತ್ಸವ,Dakshina Kannada,Moodabidri (Vidyagiri),13.0722,74.9984,2026-12-18,2026-12-21,All Day,20,"One of India's largest integrated student and national cultural conventions featuring 50,000 youth and veteran artists performing classical Carnatic, Hindustani, Yakshagana, Manipuri, Kathakali, and folk dances on open-air mega amphitheaters.","A mammoth cultural platform propagating Karnataka's language, heritage, traditional sports, and national integration.",Founded by visionary educationist Dr. M. Mohan Alva over 25 years ago in the Jain heritage town of Moodabidri.,"['Grand stages hosting simultaneous performances of 1,000+ artists together', ""Conferring of the prestigious Alva's Virasat Award to world-renowned musicians"", 'Massive traditional food court serving over 100 coastal and malnad culinary delicacies', 'Art, sculpture, photography, and indigenous handloom exhibitions']","['Moode (cylindrical steamed rice idlis in screwpine leaves)', 'Mangalorean Jackfruit Chips and Halwa', 'Goli Baje with ginger coconut chutney', 'Banana Podi (banana fritters)']","['alvas-virasat', 'moodabidri', 'nudisiri', 'classical-music', 'folk-arts', 'dance-festival', 'youth']",220000,
20,Kalaburagi Sharanabasaveshwara Jatre,ಕಲಬುರಗಿ ಶರಣಬಸವೇಶ್ವರ ಮಹಾ ರಥೋತ್ಸವ,Kalaburagi,Kalaburagi (Gulbarga),17.3297,76.8343,2026-03-24,2026-03-26,All Day,21,The landmark religious fair of Kalyana Karnataka commemorating the 19th-century Lingayat philosopher-saint Sri Sharanabasaveshwara. Features the pulling of the towering silver chariot and the public unveiling of the historic gold and silver covered bowl (Batti Gidda) and sacred staff (Padi).,"Celebrates the ideals of universal brotherhood, charity, and social upliftment across Hyderabad-Karnataka.",Commemorates Saint Sharanabasaveshwara (1760–1822 CE) who dedicated his entire life to providing famine relief and education.,"['Pulling of the monumental Silver Ratha through the historic temple grounds', 'Public viewing (Darshan) of the sacred relics (Batti & Padi) kept atop the dome', 'Cattle fair (Kalyana Karnataka Hallikar and Khillari bull exhibition)', 'Sufi Qawwali and Vachana Gayana concerts']","['Gulbarga Malka Rotti with spicy Shenga chutney', 'Kalaburagi Tahari (aromatic spiced rice specialty)', 'Dharwad Pedha and Khaja sweet', 'Jolada Rotti with Brinjal Gravy (Yennegai)']","['kalaburagi', 'sharanabasaveshwara', 'kalyana-karnataka', 'vachana', 'silver-chariot', 'dasoha']",900000,
21,Kukke Subramanya Champa Shashti,ಕುಕ್ಕೆ ಶ್ರೀ ಸುಬ್ರಹ್ಮಣ್ಯ ಚಂಪಾ ಷಷ್ಠಿ ಮಹೋತ್ಸವ,Dakshina Kannada,Subramanya,12.6635,75.6158,2026-12-14,2026-12-16,All Day,22,"The premier festival at the revered Kukke Subramanya Temple nestled in the Western Ghats under the Kumara Parvatha peak. Lord Subramanya is worshipped as the supreme protector of serpents (Nagas), highlighted by the grand Brahmaratha procession and Ashlesha Bali.",Regarded as the most potent pilgrimage destination in South India for Sarpa Dosha Nivarana and environmental reverence for serpents.,Ancient temple chronicled in the Sanatkumara Samhita of Skanda Purana where Lord Subramanya consecrated the serpent king Vasuki.,"['Rolling and pulling of the giant wooden Brahmaratha chariot through Car Street', 'Champa Shashti sacred bath in the holy Kumaradhara River', 'Trekking view of the majestic Kumara Parvatha mountain backdrop', 'Special Naga Pratishthe and Ashlesha Bali rituals']","['Kottige (Idlis steamed in woven jackfruit leaf baskets)', 'Kukke Temple Sweet Prasada (Laddus & Panchamrutha)', 'Mangalore Buns with spicy coconut chutney', 'Banana Halwa and tender coconut water']","['kukke-subramanya', 'champa-shashti', 'naga-worship', 'kumaradhara', 'kumara-parvatha', 'brahmaratha']",380000,
